#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
C1orf109	uc008url.1	7.83804384777625	8.07900662182228	7.95281963537172	7.66208826457158	7.73876964651821	7.90061969772393
Gm12185	uc011xtz.1	4.78287553735153	4.97085075520286	5.01089154122657	6.77381503966451	6.28431021671812	3.9758349975705
ASIP	uc008njz.1	0	0	1.83862249439275	1.797040311211	0	0
C1orf74	uc007eea.2	9.30674249670995	9.7784843050913	9.46567406605591	9.35296769145911	9.30941370652772	8.9827949367434
A1BG	uc007vyd.1	0	0	0	0	0	0
A1CF	uc008heu.1	10.4690937295276	10.2014771347509	10.4270683890262	10.6801965213148	10.9375333067599	10.1268910552218
C18orf42	uc008dkx.2	0	0	1.83862249439275	4.14020668783247	4.11809649301441	2.48302206273401
A3GALT2	uc008uvm.1	0	0	1.83862249439275	1.797040311211	3.02633981704522	1.79187768076034
C1orf174	uc008wau.2	8.86346109824065	8.78769998227497	8.04877822813791	8.55145073818752	8.83489661473597	7.99755631686458
A4GALT	uc007xaf.2	6.96405214048569	6.93136480698728	7.98397441891532	7.00317762853433	7.27159047647071	8.26866581758737
C14orf180	uc007peq.2	6.14763445469229	6.79744748381636	5.06970584525698	4.14020668783247	4.11809649301441	4.41639514603539
C130026I21Rik	uc007btj.1	3.05151077047267	0	2.60460545198098	5.30138085768573	4.66899212004356	2.10759566861063
9830107B12Rik	uc012auz.1	0	0	1.07864367792527	2.90056604657195	3.02633981704522	1.03534089374133
KIAA1107	uc008ymh.2	7.34475432830119	7.44811386923097	8.25100014201046	6.79744748381636	7.09121984692572	7.2118955449367
CXorf23	uc009usr.1	7.97833214974386	8.18952574970989	7.98963700340085	8.40761186967268	8.36950373806904	8.17341850254824
AADAC	uc008piz.1	7.98753518850339	6.13956104872425	6.53347691438495	9.55896828152589	9.84338197055827	9.35612798680545
AADACL3	uc008vrg.1	1.83862249439275	0	1.07864367792527	3.24459624169163	0	0
AADAT	uc009lte.1	0	0	0	0	0	0
AAK1	uc009css.1	11.1000113793737	10.8613201768763	11.2233235544886	10.5973622452745	10.5970354200912	10.9508030886189
AARD	uc007vre.1	3.93856379026862	0	2.33149126326214	1.797040311211	2.53716042659793	3.6853911853689
AARSD1	uc007los.1	8.74978656259225	8.70348372073977	8.22271695961784	8.63383033451289	8.59899585332372	8.23637896406864
Aasdh	uc012dxo.1	7.59561575812983	7.31259726200377	7.96354939542392	7.29719306484636	7.15027594586883	7.81332811574289
AASDHPPT	uc009obe.2	9.25562491596351	9.04095691622114	8.62994226436142	9.07476212680915	9.23554010105201	9.05448250846148
C19orf38	uc009olt.2	4.66229692149721	5.23404582416192	4.48461530644196	6.90575544076769	5.55385944155728	4.95228491693179
ABAT	uc007yco.2	12.4599904200427	12.1651813588449	12.1128800936462	11.9604975149935	11.9778599752839	12.1338426756673
ABCA12	uc011wmq.1	12.538701407804	12.6635845544306	11.6972042401813	12.9540019533884	12.9192152886509	9.83183917796328
ABCA13	uc007iaa.1	0	2.62717530235616	3.4946061799025	4.88846322616376	5.43108281276216	2.62717530235616
ABCA3	uc008avp.1	11.1952409043435	12.1182831375023	11.8947984640084	12.0025332290656	11.5428955886638	11.613809310758
ABCA5	uc007mdm.1	7.11502304828764	8.41068332865116	7.75530975753771	7.80897782534653	6.25729375580889	7.69742304592748
ABCA6	uc007mdj.2	3.6961093916465	0	5.06970584525698	2.48302206273401	3.89157455768868	5.54113671240559
ABCA9	uc007mdh.1	6.11317002247911	5.23404582416192	7.14652926856767	5.06970584525698	5.55385944155728	7.50310019410211
ABCB11	uc012bwo.1	0	0	1.83862249439275	1.797040311211	2.53716042659793	2.10759566861063
ABCB1	uc008wkl.1	15.5812134854961	15.5534728228443	14.6218760049409	15.0770233479565	14.9420362601252	14.8614438714606
ABCB5	uc007pij.2	0	0	0	0	0	0
ABCB9	uc008zou.1	8.21248785930227	7.69252733061632	7.14652926856767	7.25987781105418	7.23962495905998	7.17075403837608
ABCC1	uc007yhj.1	9.95596714148341	9.72142000097642	9.93161022567831	9.20025383381808	9.33188287307315	9.84662200750545
ABCC2	uc008how.1	6.67279482161068	7.07726227942686	6.77381503966451	7.62114278144161	8.25360920993119	5.00221939117923
